sound,brand,industry,ratings,having_finished_successfully,having_a_problem,process_ongoing,being_ready,having_news,being_empty,shutting_down,negative_warnings,urgency_reminder,encouraging_confirmations,starting_prompts,waiting_prompts,sophistication,positivity,progressiveness,dominance,solidity,purity,playfulness,1,2,3,4,5,6,7,8,9,10,11,12,18,23,17,22,15,21,14,19,24,16,20,13
/66/1.mp3,Mercedes,Mobility,"[0.16412869381544204, -0.5429142519282553, -0.2965039807692287, 0.12305231595545219, 0.08089662539235776, -0.5473970965784659, -0.4681892354567856, -0.3321752349531164, -0.003110541268610878, -0.005807566178594015, 0.04918333279851894, -0.26101893856249103, -0.13641476245534878, 0.1788550925851191, 0.17108263048230965, -0.20651744028096886, 0.16403571596418454, 0.14475620616360163, -0.053728410058643594]",0.164128694,-0.542914252,-0.296503981,0.123052316,0.080896625,-0.547397097,-0.468189235,-0.332175235,-0.003110541,-0.005807566,0.049183333,-0.261018939,-0.136414762,0.178855093,0.17108263,-0.20651744,0.164035716,0.144756206,-0.05372841,52.0,100.0,50.0,50,50,53.0,50.0,24,80.0,76,60,80.0,24.0,98.0,15.0,100.0,80.0,12.0,91.0,77.0,69.0,2.0,59.0,36.0
/66/2.mp3,Sil,Future,"[0.007314998364895686, -0.13487960436409874, -0.10139984681503889, -0.09186240613124352, 0.1221497858338807, -0.31031220662413694, -0.25859059290405983, -0.3091333456562215, -0.1217326630745299, -0.047785516103738046, 0.04415973047235533, -0.13165585703619287, -0.16704720790291483, -0.1385423341782247, 0.01686449242575061, -0.05653767050930991, 0.10925824665740391, 0.12751944385892178, -0.07627965313613094]",0.007314998,-0.134879604,-0.101399847,-0.091862406,0.122149786,-0.310312207,-0.258590593,-0.309133346,-0.121732663,-0.047785516,0.04415973,-0.131655857,-0.167047208,-0.138542334,0.016864492,-0.056537671,0.109258247,0.127519444,-0.076279653,76.0,41.0,59.0,60,57,34.0,29.0,48,75.0,50,44,87.0,31.0,59.0,50.0,100.0,65.0,60.0,76.0,63.0,78.0,15.0,66.0,19.0
/66/3.mp3,Hyundai,Mobility,"[0.0864660867278999, -0.3745778093313731, -0.03825581627806163, 0.11375990267279135, -0.09086640716252703, -0.18955788395037765, 0.011074755729104213, -0.37427431873791284, -0.26851313392999954, -0.007638270342181563, 0.06338020982656456, 0.07411452746697389, 0.19638983526172327, 0.008199810461011925, 0.18389541015636124, 0.22510550714768573, 0.11608588947414322, 0.016475737850155214, 0.06557826579555326]",0.086466087,-0.374577809,-0.038255816,0.113759903,-0.090866407,-0.189557884,0.011074756,-0.374274319,-0.268513134,-0.00763827,0.06338021,0.074114527,0.196389835,0.00819981,0.18389541,0.225105507,0.116085889,0.016475738,0.065578266,65.0,24.0,45.0,65,50,57.0,26.0,0,75.0,72,23,85.0,61.0,69.0,5.0,100.0,74.0,65.0,12.0,30.0,15.0,16.0,0.0,6.0
/66/4.mp3,Google,Os,"[0.5232001184913375, -0.36330493844800393, 0.28491976038323386, 0.3530610810243602, 0.2701762816598339, -0.409516305988471, -0.13838632736743262, -0.5261935643837012, 0.35250571250401075, 0.2135186671938596, 0.2777635599655204, -0.25621010327816485, 0.11493393106833039, 0.44588164126495444, 0.19301804713879345, -0.1199918855708022, 0.11008425679244316, -0.016342910666346744, 0.09972077008482039]",0.523200118,-0.363304938,0.28491976,0.353061081,0.270176282,-0.409516306,-0.138386327,-0.526193564,0.352505713,0.213518667,0.27776356,-0.256210103,0.114933931,0.445881641,0.193018047,-0.119991886,0.110084257,-0.016342911,0.09972077,58.0,74.0,48.0,50,90,50.0,91.0,26,75.0,64,58,79.0,50.0,88.0,2.0,100.0,70.0,10.0,0.0,9.0,62.0,50.0,1.0,12.0
/66/5.mp3,Deutsche,Mobility,"[-0.031673440620742954, -0.23668990714389704, 0.025223422052495392, 0.33494638855331993, 0.06652622797009244, -0.01808252586178516, 0.0042406378554886714, -0.3640216443355484, 0.040097671945483304, -0.1673235456558465, 0.17814168490842675, -0.03741072723668448, 0.42504294039553847, 0.26518446584866706, 0.23893655663019353, 0.17504985129370954, 0.13329969058061875, -0.03348879968409202, 0.19755318535725608]",-0.031673441,-0.236689907,0.025223422,0.334946389,0.066526228,-0.018082526,0.004240638,-0.364021644,0.040097672,-0.167323546,0.178141685,-0.037410727,0.42504294,0.265184466,0.238936557,0.175049851,0.133299691,-0.0334888,0.197553185,57.0,0.0,28.0,67,50,28.0,15.0,0,80.0,80,43,90.0,18.0,25.0,2.0,100.0,26.0,20.0,0.0,88.0,70.0,58.0,0.0,9.0
/66/6.mp3,KaÌˆrcher,Home,"[-0.007714275322571518, -0.2691508904092521, 0.014399612724492084, -0.10307828646398565, 0.32129014410665024, 0.09596201020695139, 0.3521619716369524, -0.11752289039800168, 0.07919202266925884, -0.21038027166457995, -0.2508729744109771, 0.19702868500855186, 0.0564578719289881, -0.11086013171970044, 0.1263854444492858, 0.06376168951458427, 0.1299292390116642, 0.17069981100970555, -0.10212237694139858]",-0.007714275,-0.26915089,0.014399613,-0.103078286,0.321290144,0.09596201,0.352161972,-0.11752289,0.079192023,-0.210380272,-0.250872974,0.197028685,0.056457872,-0.110860132,0.126385444,0.06376169,0.129929239,0.170699811,-0.102122377,48.0,69.0,52.0,84,54,24.0,12.0,37,70.0,76,63,75.0,22.0,83.0,50.0,88.0,52.0,5.0,0.0,18.0,65.0,76.0,100.0,30.0
/66/7.mp3,Skype,Apps,"[0.1608922226782885, -0.14263376523129712, 0.13890475224875498, -0.18092028780557234, 0.31385738471834435, -0.12187321341923751, -0.12144583778733398, -0.16521281757333772, 0.15835278650640272, -0.06408334658458092, -0.10169649828101346, -0.14123747853173474, -0.32828807617725786, -0.2102662873807173, 0.1400788834121991, 0.20574616791133482, 0.10745206600309931, -0.04357425621534339, -0.11084688958532352]",0.160892223,-0.142633765,0.138904752,-0.180920288,0.313857385,-0.121873213,-0.121445838,-0.165212818,0.158352787,-0.064083347,-0.101696498,-0.141237479,-0.328288076,-0.210266287,0.140078883,0.205746168,0.107452066,-0.043574256,-0.11084689,11.0,60.0,57.0,97,63,43.0,69.0,19,55.0,36,64,73.0,28.0,100.0,19.0,81.0,59.0,10.0,0.0,77.0,1.0,50.0,15.0,4.0
/31/1.mp3,Nikola,Mobility,"[0.3029362391257151, 0.23810152367478543, 0.2458774123791374, 0.11789915182145538, 0.3291467187119548, 0.26851046636255194, 0.3797336093160848, -0.0039434656712776794, 0.16356835382405954, 0.12035377542257031, 0.2983835214103765, 0.05598644604041314, 0.16671075143334257, 0.02652839575964383, 0.20976477857752185, 0.46751039616372214, 0.17590887264611488, 0.007513899103070543, 0.343868809122857]",0.302936239,0.238101524,0.245877412,0.117899152,0.329146719,0.268510466,0.379733609,-0.003943466,0.163568354,0.120353775,0.298383521,0.055986446,0.166710751,0.026528396,0.209764779,0.467510396,0.175908873,0.007513899,0.343868809,49.0,74.0,14.0,50,98,53.0,88.0,58,0.0,100,100,27.0,66.0,1.0,1.0,100.0,18.0,0.0,70.0,95.0,1.0,50.0,66.0,18.0
/31/2.mp3,Steam,Apps,"[0.15272643719508894, 0.12548737690099654, 0.45355582567796837, 0.2505406836301616, 0.2935810524495517, 0.23583093888047935, 0.14216609646954015, 0.041362269415528674, 0.350449393524388, 0.24974077104938974, 0.2540632810943979, 0.06867308541576511, 0.4128651642028167, 0.22424854224408874, 0.19492658508334415, 0.23127673844730334, 0.29124503884461483, 0.3624596948674057, 0.3954093547526403]",0.152726437,0.125487377,0.453555826,0.250540684,0.293581052,0.235830939,0.142166096,0.041362269,0.350449394,0.249740771,0.254063281,0.068673085,0.412865164,0.224248542,0.194926585,0.231276738,0.291245039,0.362459695,0.395409355,26.0,82.0,31.0,19,99,38.0,91.0,31,51.0,88,89,50.0,34.0,1.0,97.0,98.0,35.0,50.0,69.0,93.0,2.0,0.0,37.0,0.0
/31/3.mp3,Apple,Os,"[0.36295311532003516, 0.1906006480211171, 0.3185876600581756, 0.19501609796518427, 0.6101018909471161, 0.18505780394794558, 0.14765531181222347, -0.012486801526952807, 0.49423427937828635, 0.4306180532609447, 0.19099181516850083, 0.12061449096253174, 0.1403703897467743, 0.12138246582395773, 0.23023660990859485, 0.19734746703334727, 0.3068475220593285, 0.1926975998714786, 0.18871749713783492]",0.362953115,0.190600648,0.31858766,0.195016098,0.610101891,0.185057804,0.147655312,-0.012486802,0.494234279,0.430618053,0.190991815,0.120614491,0.14037039,0.121382466,0.23023661,0.197347467,0.306847522,0.1926976,0.188717497,24.0,61.0,68.0,72,95,63.0,84.0,67,50.0,79,74,50.0,67.0,1.0,91.0,93.0,41.0,50.0,61.0,86.0,14.0,22.0,67.0,5.0
