;Negative_Warnings;Urgency_Reminder;Encouraging_Confirmations;Starting_Prompts;Waiting_Prompts;having_finished_successfully;having_a_problem;process_ongoing;being_ready;having_news;being_empty;shutting_down;Sophistication;Positivity;Progressiveness;Dominance;Solidity;Purity;Playfulness
Negative_Warnings;1;0.3983;0.1359;0.1258;0.7273;0.1015;0.8498;0.3970;0.0619;0.1976;0.7120;0.6016;0.2297;0.0520;0.2765;0.6250;0.2772;0.2150;0.3475
Urgency_Reminder;0.3983;1;0.6283;0.5961;0.4889;0.5763;0.3245;0.5152;0.5288;0.7679;0.2742;0.2179;0.4958;0.5395;0.5433;0.4446;0.5521;0.4576;0.4906
Encouraging_Confirmations;0.1359;0.6283;1;0.8745;0.4017;0.6663;0.1520;0.5905;0.7268;0.6421;0.1740;0.1617;0.6851;0.7688;0.6703;0.3932;0.6192;0.4614;0.6944
Starting_Prompts;0.1258;0.5961;0.8745;1;0.4083;0.6777;0.1418;0.6076;0.8430;0.6367;0.1733;0.2132;0.6448;0.7414;0.6609;0.3965;0.6245;0.4647;0.6342
Waiting_Prompts;0.7273;0.4889;0.4017;0.4083;1;0.3122;0.6878;0.6041;0.3194;0.3890;0.6003;0.5154;0.4269;0.2923;0.4799;0.6392;0.4625;0.3773;0.5387
having_finished_successfully;0.1015;0.5763;0.6663;0.6777;0.3122;1;0.0608;0.4661;0.7233;0.7141;0.0723;0.0926;0.4962;0.6065;0.5207;0.2668;0.5179;0.4500;0.4549
having_a_problem;0.8498;0.3245;0.1520;0.1418;0.6878;0.0608;1;0.4728;0.0595;0.1754;0.7799;0.6504;0.2455;0.0563;0.2808;0.6027;0.2756;0.2007;0.3809
process_ongoing;0.3970;0.5152;0.5905;0.6076;0.6041;0.4661;0.4728;1;0.5708;0.5165;0.4360;0.3974;0.5545;0.4803;0.5704;0.5328;0.5298;0.3852;0.6283
being_ready;0.0619;0.5288;0.7268;0.8430;0.3194;0.7233;0.0595;0.5708;1;0.6809;0.1054;0.1806;0.5756;0.6792;0.5950;0.3104;0.5717;0.4454;0.5215
having_news;0.1976;0.7679;0.6421;0.6367;0.3890;0.7141;0.1754;0.5165;0.6809;1;0.1658;0.1269;0.4930;0.5967;0.5433;0.3283;0.5565;0.5203;0.4777
being_empty;0.7120;0.2742;0.1740;0.1733;0.6003;0.0723;0.7799;0.4360;0.1054;0.1658;1;0.8085;0.2544;0.0815;0.2988;0.5465;0.2765;0.2056;0.3833
shutting_down;0.6016;0.2179;0.1617;0.2132;0.5154;0.0926;0.6504;0.3974;0.1806;0.1269;0.8085;1;0.2526;0.0926;0.2879;0.4903;0.2819;0.2100;0.3410
Sophistication;0.2297;0.4958;0.6851;0.6448;0.4269;0.4962;0.2455;0.5545;0.5756;0.4930;0.2544;0.2526;1;0.7853;0.8402;0.6094;0.7714;0.5198;0.8482
Positivity;0.0520;0.5395;0.7688;0.7414;0.2923;0.6065;0.0563;0.4803;0.6792;0.5967;0.0815;0.0926;0.7853;1;0.7453;0.3805;0.7338;0.5626;0.7259
Progressiveness;0.2765;0.5433;0.6703;0.6609;0.4799;0.5207;0.2808;0.5704;0.5950;0.5433;0.2988;0.2879;0.8402;0.7453;1;0.6909;0.8399;0.6125;0.7940
Dominance;0.6250;0.4446;0.3932;0.3965;0.6392;0.2668;0.6027;0.5328;0.3104;0.3283;0.5465;0.4903;0.6094;0.3805;0.6909;1;0.6658;0.4381;0.7205
Solidity;0.2772;0.5521;0.6192;0.6245;0.4625;0.5179;0.2756;0.5298;0.5717;0.5565;0.2765;0.2819;0.7714;0.7338;0.8399;0.6658;1;0.8016;0.7261
Purity;0.2150;0.4576;0.4614;0.4647;0.3773;0.4500;0.2007;0.3852;0.4454;0.5203;0.2056;0.2100;0.5198;0.5626;0.6125;0.4381;0.8016;1;0.4796
Playfulness;0.3475;0.4906;0.6944;0.6342;0.5387;0.4549;0.3809;0.6283;0.5215;0.4777;0.3833;0.3410;0.8482;0.7259;0.7940;0.7205;0.7261;0.4796;1
