Group ID,Gender,Migration Background,Age
1,Female,Migration Background,Age Group 1
2,Female,Migration Background,Age Group 2
3,Female,Migration Background,Age Group 3
4,Female,No Migration Background,Age Group 1
5,Female,No Migration Background,Age Group 2
6,Female,No Migration Background,Age Group 3
7,Male,Migration Background,Age Group 1
8,Male,Migration Background,Age Group 2
9,Male,Migration Background,Age Group 3
10,Male,No Migration Background,Age Group 1
11,Male,No Migration Background,Age Group 2
12,Male,No Migration Background,Age Group 3
